usr_mcno,usr_mctype,sub_mcno,sub_mcstuen,usr_devtname,devt_location,mcst_houseno,mcst_roadname,mcst_unitno,mcst_buildingname,mcst_postalcode,mcst_telno,ust_status,mcst_stratalota,managementname,management_tel_no,mc_form_date
2156,Single Tier Management Corporation,na,S98MC2156L,MANAGEMENT CORPORATION STRATA TITLE PLAN NO.2156,251B GEYLANG ROAD,126,JOO SENG ROAD,Jun-13,na,368355,65815604,ACTIVE,3,AVALON ASSET MANAGEMENT PTE LTD,65815604,20/1/1998
2157,Single Tier Management Corporation,na,S98MC2157G,na,253 GEYLANG ROAD 389311,253A,GEYLANG ROAD,na,na,389311,96822155,ACTIVE,3,na,na,20/1/1998
2158,Single Tier Management Corporation,na,S98MC2158C,MANAGEMENT CORPORATION STRATA TITLE PLAN NO.2158,255B GEYLANG ROAD 389312,126,JOO SENG ROAD,Jun-13,na,368355,65815604,ACTIVE,3,AVALON ASSET MANAGEMENT PTE LTD,65815604,20/1/1998
2159,Single Tier Management Corporation,na,S98MC2159K,MANAGEMENT CORPORATION STRATA TITLE PLAN NO.2159,257 GEYLANG ROAD 389313,126,JOO SENG ROAD,Jun-13,na,368355,65815604,ACTIVE,3,AVALON ASSET MANAGEMENT PTE LTD,65815604,20/1/1998
2160,Single Tier Management Corporation,na,S98MC2160G,MANAGEMENT CORPORATION STRATA TITLE PLAN NO.2160,259B GEYLANG ROAD 389315,126,JOO SENG ROAD,Jun-13,na,368355,65815604,ACTIVE,3,AVALON ASSET MANAGEMENT PTE LTD,65815604,20/1/1998
2161,Single Tier Management Corporation,na,S98MC2161C,PROSPER HOUSE,101 LORONG 23 GEYLANG 388399,101,LORONG 23 GEYLANG,na,PROSPER HOUSE,388399,62928149,ACTIVE,24,HOE-TAN CO (PTE) LTD,67366007,5/2/1998
2162,Single Tier Management Corporation,na,S98MC2162K,WEST PARK REGENCY,346 PASIR PANJANG ROAD 118087,346,PASIR PANJANG ROAD,B1-01,WEST PARK REGENCY,118687,64685100,ACTIVE,27,Chambers Property Management Services Pte Ltd,64685100,23/1/1998
2163,Single Tier Management Corporation,na,S98MC2163F,MANAGEMENT CORPORATION STRATA TITLE PLAN NO.2163,40B LORONG 23 GEYLANG,24,TANNERY LANE,6-Jun,TANNERY HOUSE,347790,67445307,ACTIVE,3,HOE-TAN CO (PTE) LTD,68387911,19/11/1997
2164,Single Tier Management Corporation,na,S98MC2164B,MANAGEMENT CORPORATION STRATA TITLE PLAN NO.2164,42B LORONG 23 GEYLANG,75D,REDHILL ROAD,1-114,na,154075,64740869,ACTIVE,3,HOE-TAN CO (PTE) LTD,68387911,8/1/1998
2165,Single Tier Management Corporation,na,S98MC2165J,na,48 SHANGHAI ROAD 248204,3,KALLANG WAY 2A,na,FONG TAT BUILDING,347493,67420830,DEFUNCT,6,MCST,na,5/1/1998
2166,Single Tier Management Corporation,na,S98MC2166E,THE OXLEY,9 OXLEY RISE 238697,9,OXLEY RISE,na,THE OXLEY,238697,67343305,ACTIVE,42,Property Facility Serivces Pte Ltd,62211313,6/3/1998
2167,Single Tier Management Corporation,na,S98MC2167A,TIARA CONDOMINIUM,1 KIM SENG WALK 239403,1,KIM SENG WALK,B1-01,TIARA,239403,67360316,ACTIVE,264,Property Facility Serivces Pte Ltd,62211313,23/1/1998
2168,Single Tier Management Corporation,na,S98MC2168H,CITILINK WAREHOUSE,102F PASIR PANJANG ROAD 118530,102F,PASIR PANJANG ROAD,1-Sep,Citilink Warehouse Complex,118530,62755586,ACTIVE,180,Parkland Property Services Pte Ltd,62982100,2/4/1998
2169,Single Tier Management Corporation,na,S98MC2169D,KILAT COURT,17 LORONG KILAT 598139,17,LORONG KILAT,na,KILAT COURT,598139,91263310,ACTIVE,29,Asia Properties & Assets Consultancy Pte Ltd,91263310,26/3/1998
2170,Single Tier Management Corporation,na,S98MC2170A,MANAGEMENT CORPORATION STRATA TITLE PLAN NO.2170,315C TANJONG KATONG ROAD 437096,na,na,na,na,na,Tobe advised,ACTIVE,8,na,na,9/2/1998
2171,Single Tier Management Corporation,na,S98MC2171H,9TH HOLLAND HILL,9 HOLLAND HILL 278738,160,PAYA LEBAR ROAD,5-May,ORION @ PAYA LEBAR,409022,91886743,ACTIVE,24,na,na,9/2/1998
2172,Single Tier Management Corporation,na,S98MC2172D,THE COURTYARD,6 LIM AH PIN ROAD 547822,6,LIM AH PIN ROAD,1-Jul,THE COURTYARD,547822,65815604,ACTIVE,27,HBA Group Property Consultants Pte Ltd,6338 7222,16/2/1998
2173,Single Tier Management Corporation,na,S98MC2173L,MANAGEMENT CORPORATION STRATA TITLE PLAN NO.2173,17 HONGKONG STREET 59660,8,SHENTON WAY,29-Jan,na,68811,na,ACTIVE,5,NIL,na,21/3/1998
2174,Single Tier Management Corporation,na,S98MC2174G,BLOSSOM VIEW,31 LORONG 26 GEYLANG 398498,31,LORONG 26 GEYLANG,1-Feb,BLOSSOM VIEW,398498,98778345,ACTIVE,29,na,na,1/4/1998
2175,Single Tier Management Corporation,na,S98MC2175C,ABI PLAZA,11 KEPPEL ROAD 089057,9,BATTERY ROAD,9-Mar,MYP CENTRE,49910,na,ACTIVE,10,na,na,6/3/1998
2176,Single Tier Management Corporation,na,S98MC2176K,HILLVIEW APARTMENTS,71 HILLVIEW AVENUE 669570,91,BENCOOLEN STREET,2-Jan,SUNSHINE PLAZA,189652,68387913,ACTIVE,36,Hoe-Tan Co (Pte) Ltd,68387913,17/4/1998
2177,Single Tier Management Corporation,na,S98MC2177F,FRAGRANCE COURT,12 YEW SIANG ROAD 117752,420,NORTH BRIDGE ROAD,6-Jan,NORTH BRIDGE CENTRE,188727,63370087,ACTIVE,32,Earnest Management Services Pte Ltd,63370087,16/4/1998
2178,Single Tier Management Corporation,na,S98MC2178B,CASTLE GREEN CONDOMINIUM,481 YIO CHU KANG ROAD 787056,489,YIO CHU KANG ROAD,1-Jan,CASTLE GREEN CONDOMINIUM,787060,65524998,ACTIVE,664,Wisely 98 Pte Ltd,62915355,7/5/1998
2179,Single Tier Management Corporation,na,S98MC2179J,80 ROBINSON ROAD,80 ROBINSON ROAD 068898,80,ROBINSON ROAD,03-00,80 ROBINSON ROAD,68898,62230950,ACTIVE,25,KINGSTON PROPERTY MAINTENANCE SERVICES PTE LTD,62230950,12/3/1998
2180,Single Tier Management Corporation,na,S98MC2180F,MANAGEMENT CORPORATION STRATA TITLE PLAN NO.2180,412B JOO CHIAT ROAD 427637,9,JOO CHIAT ROAD,na,na,427637,63179191,ACTIVE,3,MCST,na,14/3/1998
2181,Single Tier Management Corporation,na,S98MC2181B,MANAGEMENT CORPORATION STRATA TITLE PLAN NO.2181,414B JOO CHIAT ROAD,408A,JOO CHIAT ROAD,na,na,427635,63480943,ACTIVE,3,MCST,na,14/3/1998
