usr_mcno,usr_mctype,sub_mcno,sub_mcstuen,usr_devtname,devt_location,mcst_houseno,mcst_roadname,mcst_unitno,mcst_buildingname,mcst_postalcode,mcst_telno,ust_status,mcst_stratalota,managementname,management_tel_no,mc_form_date
3631,Single Tier Management Corporation,na,T10MC0110F,THE ARTE,23 JALAN RAJA UDANG 329216,23,JALAN RAJA UDANG,2-Sep,THE ARTE,329216,6634 8503,ACTIVE,336,Knight Frank Property Asset Management Pte Ltd,+65 6848 567,25/11/2010
3633,Single Tier Management Corporation,na,T10MC0099H,NOMU,20 HANDY ROAD 229236,20,HANDY ROAD,5-Feb,NOMU,229236,62232232,ACTIVE,52,SIN HENG CHAN PTE LTD,62232232,8/11/2010
3634,Single Tier Management Corporation,na,T11MC0017C,DAKOTA RESIDENCES,34 DAKOTA CRESCENT 399936,36,DAKOTA CRESCENT,1-May,DAKOTA RESIDENCES,399937,66348990,ACTIVE,348,Edmund Tie & Company Property Management Services Pte Ltd,64179222,28/2/2011
3635,Single Tier Management Corporation,na,T11MC0001L,THE SEAFRONT ON MEYER,55 MEYER ROAD 437978,59A,MEYER ROAD,Jan-15,THE SEAFRONT ON MEYER,437979,6570 6335,ACTIVE,327,Jones Lang LaSalle Property Consultants Pte Ltd,62203888,4/1/2011
3636,Single Tier Management Corporation,na,T10MC0109J,TURQUOISE,51 COVE DRIVE 098393,53,COVE DRIVE,Jan-17,TURQUOISE,98394,6271 9308,ACTIVE,91,Edmund Tie & Company Property Management Services Pte Ltd,62719308,25/11/2010
3637,Single Tier Management Corporation,na,T11MC0015L,BLISSVILLE,69H LORONG MELAYU 417030,69H,LORONG MELAYU,na,BLISSVILLE,417030,64411184,ACTIVE,18,A4 International Pte Ltd,64411184,25/2/2011
3638,Single Tier Management Corporation,na,T11MC0080L,CHEPSTOW VILLE,17 CHEPSTOW CLOSE 558701,33,CHEPSTOW CLOSE,na,CHEPSTOW VILLE,558691,64497141,ACTIVE,9,Ascent Property Management Services Pte Ltd,64497141,25/7/2011
3639,Single Tier Management Corporation,na,T10MC0115H,36/38 ARMENIAN STREET,36 ARMENIAN STREET 179934,125A,LORONG 2 TOA PAYOH,02-134,na,311125,62569333,ACTIVE,38,na,na,10/12/2010
3640,Single Tier Management Corporation,na,T11MC0005F,THE PARC CONDOMINIUM,1 WEST COAST WALK 127158,13,WEST COAST WALK,B1-29,THE PARC CONDOMINIUM,127163,67747031,ACTIVE,659,Newman & Goh Property Consultants Pte Ltd,62569333,20/1/2011
3641,Single Tier Management Corporation,na,T11MC0004K,SOLARIS RESIDENCES,23 PAYA LEBAR CRESCENT 534121,23 - 23S,PAYA LEBAR CRESCENT,na,SOLARIS RESIDENCES,534121,9846 6984,ACTIVE,17,Melana International Pte Ltd,98466984,19/1/2011
3642,Single Tier Management Corporation,na,T11MC0054B,EUNOSVILLE,822 SIMS AVENUE 400834,840,SIMS AVENUE,01-844,EUNOSVILLE,400840,67493310,DEFUNCT,330,Corporate Real Estate Management Service & Resource Centre Pte Ltd,67330448,1/6/2011
3643,Single Tier Management Corporation,na,T11MC0053F,COASTAL VIEW RESIDENCES,177 JALAN LOYANG BESAR 509432,179,JALAN LOYANG BESAR,1-Jan,COASTAL VIEW RESIDENCES,506926,62569333,ACTIVE,40,Newman & Goh Property Consultants Pte Ltd,62569333,31/5/2011
3644,Single Tier Management Corporation,na,T10MC0057A,WILIKIE 80,80 WILKIE ROAD 228079,80,WILKIE ROAD,na,WILIKIE 80,228079,64685100,ACTIVE,50,Chambers Property Management Services Pte Ltd,64685100,8/6/2011
3646,2 Tier Management Corporation,na,T11MC0121A,ION ORCHARD,2 ORCHARD TURN 238801,2,ORCHARD TURN,5-Mar,ION ORCHARD,238801,64855239,ACTIVE,178,Orchard Turn Developments Pte Ltd,87208381,5/12/2011
3647,Single Tier Management Corporation,na,T11MC0008E,EVANIA,389 UPPER PAYA LEBAR ROAD 534979,389,UPPER PAYA LEBAR ROAD,na,EVANIA,534979,96786253,ACTIVE,35,Property Facility Serivces Pte Ltd,96786253,28/1/2011
3648,Single Tier Management Corporation,na,T11MC0034C,MOUNT SOPHIA SUITES,95 SOPHIA ROAD 228163,95,SOPHIA ROAD,B1-01,MT SOPHIA SUITES,228163,68485678,ACTIVE,50,Knight Frank Property Asset Management Pte Ltd,68485678,14/4/2011
3649,Single Tier Management Corporation,na,T11MC0009A,ESTILO,71 WILKIE ROAD 228071,531,UPPER CROSS STREET,Mar-52,HONG LIM COMPLEX,50531,65333375,ACTIVE,58,RHODO INTERNATIONAL STRATA MANAGEMENT SERVICES PTE LTD,65333375,31/1/2011
3650,Single Tier Management Corporation,na,T11MC0018K,SUI GENERIS,19 BALMORAL CRESCENT 259916,19,BALMORAL CRESCENT,B1-01,SUI GENERIS,259916,68367738,ACTIVE,40,na,na,4/3/2011
3652,Single Tier Management Corporation,na,T11MC0078G,8 NASSIM HILL,8 NASSIM HILL 258484,8,NASSIM HILL,B1-01,8 NASSIM HILL,258484,67379466,ACTIVE,16,SHIN Property Services Pte Ltd,67379466,22/7/2011
3653,Single Tier Management Corporation,na,T11MC0033G,COTSWOLD VILLAS,35 COTSWOLD CLOSE 359626,865,MOUNTBATTEN ROAD,May-34,Katong Shopping Centre,437844,66653880,ACTIVE,7,Propmag Property & Facility Pte Ltd,66653880,14/4/2011
3654,Single Tier Management Corporation,na,T11MC0071B,PATERSON SUITES,55 PATERSON ROAD 238550,55,PATERSON ROAD,B1-04,PATERSON SUITES,238550,66347938,ACTIVE,102,Knight Frank Property Asset Management Pte Ltd,68485713,11/7/2011
3655,Single Tier Management Corporation,na,T12MC0020H,8 NAPIER,8 NAPIER ROAD 258502,8,NAPIER ROAD,1-Jan,8 NAPIER,258502,65703225,ACTIVE,46,Jones Lang LaSalle Property Consultants Pte Ltd,6570 3225,6/3/2012
3656,Single Tier Management Corporation,na,T11MC0016G,CLEMENTIWOODS,84 WEST COAST ROAD 126811,84,WEST COAST ROAD,B1-01,CLEMENTIWOODS,126811,67782267,ACTIVE,240,Propnex Property Management Consultant Pte Ltd,91015000,25/2/2011
3657,Single Tier Management Corporation,na,T11MC0012A,ONE AMBER,5 AMBER GARDENS 439973,5,AMBER GARDENS,Jan-14,ONE AMBER,439973,66341772,ACTIVE,562,Eric Ong & Associates Pte Ltd,69099969,18/2/2011
3658,Single Tier Management Corporation,na,T11MC0010J,THE COTZ,171 TELOK KURAU ROAD 423824,171,TELOK KURAU ROAD,na,THE COTZ,423824,63420778,ACTIVE,48,HILANDAS STRATA MANAGEMENT PTE LTD,63420778,7/2/2011
3659,Single Tier Management Corporation,na,T11MC0047G,CITYVISTA RESIDENCES,21 PECK HAY ROAD 228314,21,PECK HAY ROAD,14-Jan,CITYVISTA RESIDENCES - MANAGEMENT OFFICE,228314,6884 6138,ACTIVE,70,Edmund Tie & Company Property Management Services Pte Ltd,6884 6138,16/5/2011
3661,Single Tier Management Corporation,na,T11MC0006B,RIVERIA GARDENS,8 RIVER VALLEY GROVE 238406,8,RIVER VALLEY GROVE,1-Jan,RIVERIA GARDENS,238406,6737 6773,ACTIVE,49,Phamous Facilities Management Pte Ltd,6250 2214,21/1/2011
3662,Single Tier Management Corporation,na,T11MC0013H,BLUWATERS 2,205 JALAN LOYANG BESAR 509456,205,JALAN LOYANG BESAR,na,BLUWATERS2,509456,62211313,ACTIVE,71,Property Facility Serivces Pte Ltd,62211313,22/2/2011
3663,2 Tier Management Corporation,na,T11MC0086J,MIDVIEW CITY,18-40 SIN MING LANE 573960,18,SIN MING LANE,Jan-19,MIDVIEW CITY,573960,64580053,ACTIVE,920,Newman & Goh Property Consultants Pte Ltd,62569333,31/8/2011
3664,Single Tier Management Corporation,na,T11MC0081G,CITIGATE RESIDENCE,168 RANGOON ROAD 218437,8,BURN ROAD,17-Jun,TRIVEX,369977,67026018,ACTIVE,32,Absolut Properties Pte Ltd,67026018,26/7/2011
3665,Single Tier Management Corporation,na,T11MC0097K,THE THOMSON DUPLEX,323B THOMSON ROAD 307668,531,UPPER CROSS STREET,4-Dec,Hong Lim Complex,50531,6334 5565,ACTIVE,6,Dickson Property Consultants Pte Ltd,63345565,25/10/2011
3666,Single Tier Management Corporation,na,T11MC0024J,PARC MONDRIAN,21 WOODLEIGH CLOSE 357916,21,WOODLEIGH CLOSE,1-Jan,PARC MONDRIAN,357916,68585705,ACTIVE,100,Savills Property Management Pte Ltd,63463238,21/3/2011
3667,Single Tier Management Corporation,na,T11MC0104A,Clover by The Park,2 BISHAN STREET 25 573973,4,BISHAN STREET 25,01--17,Clover By the Park,573974,66596811,ACTIVE,616,Asia Properties & Assets Consultancy Pte Ltd,66596811,8/11/2011
3668,Single Tier Management Corporation,na,T12MC0002A,MULBERRY TREE,167 MOULMEIN ROAD 308092,167,MOULMEIN ROAD,na,MULBERRY TREE,308092,81825566,ACTIVE,32,VERTEX21 PROPERTY MANAGEMENT PTE LTD,81825566,6/1/2012
3670,Single Tier Management Corporation,na,T11MC0045D,LUMIERE,2 MISTRI ROAD 079624,2,MISTRI ROAD,1-May,LUMIERE,79624,66348173,ACTIVE,172,Knight Frank Property Asset Management Pte Ltd,68485678,13/5/2011
3671,Single Tier Management Corporation,na,T11MC0027H,TOKIO MARINE CENTRE,20 MCCALLUM STREET 069046,20,MCCALLUM STREET,11-Jan,TOKIO MARINE CENTRE,69046,65926366,ACTIVE,18,Tokio Marine Insurance Singapore Ltd,65926366,25/3/2011
3672,Single Tier Management Corporation,na,T11MC0044H,Suites@Kovan,981 UPPER SERANGOON ROAD 534729,420,NORTH BRIDGE ROAD,6-Jan,NORTH BRIDGE CENTRE,188727,63370087,ACTIVE,17,Earnest Management Services Pte Ltd,63370087,11/5/2011
3673,Single Tier Management Corporation,na,T11MC0029L,ONE FINLAYSON GREEN,1 FINLAYSON GREEN 049246,1,FINLAYSON GREEN,na,ONE FINLAYSON GREEN,49246,65360326,ACTIVE,15,na,na,7/4/2011
3674,Single Tier Management Corporation,na,T11MC0065C,MILL CREEK,10 LORONG MARZUKI 417052,60,KAKI BUKIT PLACE,2-Oct,na,415979,64411184,ACTIVE,18,A4 International Pte Ltd,64411184,20/6/2011
3675,Single Tier Management Corporation,na,T11MC0085B,EASTWOOD REGENCY,40 EASTWOOD ROAD 486397,40,EASTWOOD ROAD,1-Jan,EASTWOOD REGENCY,486397,62569333-837,ACTIVE,75,Newman & Goh Property Consultants Pte Ltd,62569333,24/8/2011
3676,Single Tier Management Corporation,na,T13MC0035J,SHUNFU VILLE,314 SHUNFU ROAD 570314,317,SHUNFU ROAD,Jan-42,SHUNFU VILLE,570317,62596808,DEFUNCT,358,Rhodo Strata Management Services Pte Ltd,65333375,28/2/2013
3677,Single Tier Management Corporation,na,T11MC0082C,LAGOON VIEW,5000J MARINE PARADE ROAD 449291,5000P,MARINE PARADE ROAD,na,LAGOON VIEW,449304,64430565,ACTIVE,481,na,na,1/8/2011
3678,Single Tier Management Corporation,na,T12MC0041C,ANTIOCH @ MACPHERSON,18 ARUMUGAM ROAD 409962,7030,ANG MO KIO AVENUE 5,Sep-73,Northstar@AMK,569880,67336845,ACTIVE,6,KIRIN ASSET MANAGEMENT PTE LTD,67336845,18/5/2012
3679,Single Tier Management Corporation,na,T11MC0118A,BREEZE BY THE EAST,316 UPPER EAST COAST ROAD 465520,316,UPPER EAST COAST ROAD,B1-04,BREEZE BY THE EAST,465520,64454266,ACTIVE,88,Ocean IFM Pte Ltd,68861936,2/12/2011
3680,Single Tier Management Corporation,na,T12MC0076J,NASSIM PARK RESIDENCES,15 NASSIM ROAD 258386,17,NASSIM ROAD,1-Jul,NASSIM PARK RESIDENCES,258391,66360910,ACTIVE,100,Knight Frank Property Asset Management Pte Ltd,68485678,26/9/2012
3681,Single Tier Management Corporation,na,T11MC0041J,ASTON RESIDENCE,209 JALAN LOYANG BESAR 509489,209,JALAN LOYANG BESAR,Jan-29,ASTON RESIDENCE,509489,63919300,ACTIVE,28,Propnex Property Management Consultant Pte Ltd,6391 9300,9/5/2011
3682,Single Tier Management Corporation,na,T11MC0084F,18 SHELFORD,18 SHELFORD ROAD 288407,18,SHELFORD ROAD,4-Jan,18 SHELFORD,288407,62523773,ACTIVE,19,Exceltec Property Management Pte Ltd,6252 3773,12/8/2011
3683,Single Tier Management Corporation,na,T11MC0051C,THE SERENNIA,16 PULASAN ROAD 424382,16,PULASAN ROAD,na,THE SERENNIA,424382,62981416,ACTIVE,42,LE Property Consultancy Pte Ltd,62981416,27/5/2011
3684,Single Tier Management Corporation,na,T11MC0030H,GLASGOW RESIDENCE,23 GLASGOW ROAD 549338,23,GLASGOW ROAD,1-Jan,GLASGOW RESIDENCE,549338,62230169,ACTIVE,31,SMART PROPERTY MANAGEMENT (S) PTE LTD,6390 9526,8/4/2011
3685,Single Tier Management Corporation,na,T12MC0006G,339/A/B/C JOO CHIAT ROAD,na,167B,THOMSON ROAD,na,GOLDHILL CENTRE,307619,na,DEFUNCT,4,na,na,13/1/2012
3686,Single Tier Management Corporation,na,T11MC0050G,TRIVEX,8 BURN ROAD 369977,8,BURN ROAD,Jan-13,TRIVEX,369977,65095990,ACTIVE,232,Outocoz Property Services Pte Ltd,64404600,19/5/2011
3687,Single Tier Management Corporation,na,T11MC0066K,D'FRESCO,58 JOO CHIAT ROAD 428109,58,JOO CHIAT LANE,1-Jul,D'FRESCO,428109,69093017,ACTIVE,30,D'Proman & Co. Pte Ltd,69093017,23/6/2011
3688,Single Tier Management Corporation,na,T11MC0095G,EAST COAST RESIDENCES,412 UPPER EAST COAST ROAD 466488,412,UPPER EAST COAST ROAD,na,EAST COAST RESIDENCES,466488,62915355,ACTIVE,59,Wisely 98 Pte Ltd,6291 5355,20/10/2011
3689,Single Tier Management Corporation,na,T11MC0067F,BELLE VUE RESIDENCES,33-15 OXLEY WALK 238590,29,OXLEY WALK,Feb-29,BELLEVUE RESIDENCES,238597,66347760,ACTIVE,176,na,na,24/6/2011
3690,Single Tier Management Corporation,na,T11MC0037B,WESTECH BUILDING,237 PANDAN LOOP 128424,237,PANDAN LOOP,3-Aug,WESTECH BUILDING,128424,67778586,ACTIVE,70,Chambers Property Management Services Pte Ltd,64685100,27/4/2011
3691,Single Tier Management Corporation,na,T11MC0038J,TEMBELING COURT,86 TEMBELING ROAD 423596,60,KAKI BUKIT PLACE,2-Oct,EUNOS TECHPARK,415979,64411184,ACTIVE,12,A4 International Pte Ltd,64411184,27/4/2011
3692,Single Tier Management Corporation,na,T11MC0052K,THE TRILLIUM,112 KIM SENG ROAD 239432,114,KIM SENG ROAD,1-Apr,THE TRILLIUM,239433,68343981,ACTIVE,231,Savills Property Management Pte Ltd,67368147,30/5/2011
3694,Single Tier Management Corporation,na,T11MC0042E,VETRO,22A MAR THOMA ROAD 328703,22A,MAR THOMA ROAD,1-Jan,VETRO,328703,68411535,ACTIVE,32,Pacific Property Management Pte Ltd,92978621,9/5/2011
3695,Single Tier Management Corporation,na,T11MC0060A,SPRING@LANGSAT,5 LANGSAT ROAD 426691,5,LANGSAT ROAD,na,SPRING@LANGSAT (MANAGEMENT BOX),426691,98859081,ACTIVE,26,Agile Facilities Services,9885 9081,14/6/2011
3696,Single Tier Management Corporation,na,T11MC0036F,HAMPSTEAD,20 SUNSET VALE 597244,170,UPPER BUKIT TIMAH ROAD,18-Apr,BUKIT TIMAH SHOPPING CENTRE,588179,64666600,ACTIVE,6,LSY MANAGEMENT SERVICES PTE LTD,64666600,26/4/2011
3697,Single Tier Management Corporation,na,T11MC0046L,LATITUDE,31 JALAN MUTIARA 249206,35,JALAN MUTIARA,B1-07,Latitude,249210,66347338,ACTIVE,127,Jones Lang LaSalle Property Consultants Pte Ltd,6634 7338,16/5/2011
3699,Single Tier Management Corporation,na,T11MC0069J,KING'S 8,3 KINGS ROAD 266305,3H,KINGS ROAD,na,King's 8,266305,64111695,ACTIVE,8,Chamber Property Management Services Pte Ltd,64685100,5/7/2011
3700,Single Tier Management Corporation,na,T11MC0063L,ST THOMAS SUITES,35 ST. THOMAS WALK 238115,35,ST. THOMAS WALK,B1-01,ST THOMAS SUITES,238115,6634 6258,ACTIVE,176,Edmund Tie & Company Property Management Services Pte Ltd,6634 6258,16/6/2011
3701,Single Tier Management Corporation,na,T11MC0035K,IRIDIUM,11 LINCOLN ROAD 308349,1557,KEPPEL ROAD,Feb-26,na,89066,62230169,ACTIVE,45,SMART PROPERTY MANAGEMENT (S) PTE LTD,62230169,16/2/2011
3702,Single Tier Management Corporation,na,T11MC0075H,CASA FORTUNA,36 AH HOOD ROAD 329980,36,AH HOOD ROAD,1-Jan,CASA FORTUNA,329980,6223 0169,ACTIVE,106,SMART PROPERTY MANAGEMENT (S) PTE LTD,6223 0169,15/7/2011
3703,Single Tier Management Corporation,na,T11MC0114F,CANNE VILLE,6 LORONG 3 GEYLANG 388860,59,TUAS VIEW WALK 2,na,na,637629,67853535,ACTIVE,16,na,na,25/11/2011
3704,Single Tier Management Corporation,na,T11MC0130K,CHARLTON VILLAS,27 CHARLTON LANE 534140,35G,CHARLTON LANE,na,CHARLTON VILLAS,534140,68861936,ACTIVE,43,Ocean IFM Pte Ltd,68861936,29/12/2011
3706,Single Tier Management Corporation,na,T11MC0073E,HILLVISTA CONDOMINIUM,1 ELIZABETH DRIVE 669743,1,ELIZABETH DRIVE,1-Jun,HILLVISTA CONDOMINIUM,669743,6763 2280,ACTIVE,127,RealtyLink Consultancy Pte Ltd,63375277,14/7/2011
3707,Single Tier Management Corporation,na,T11MC0059D,TEMBELING RESIDENCE,246 TEMBELING ROAD 423725,420,NORTH BRIDGE ROAD,6-Jan,NORTH BRIDGE CENTRE,188727,63370087,ACTIVE,19,Earnest Management Services Pte Ltd,63370087,13/6/2011
3708,Single Tier Management Corporation,na,T11MC0049K,D'CHATEAU @ SHELFORD,25 SHELFORD ROAD 288415,701,GEYLANG ROAD,3-Apr,TEAMBUILD CENTRE,389687,64664703,ACTIVE,31,Barringham International Property Management Pte Ltd,64664703,18/5/2011
3709,Single Tier Management Corporation,na,T11MC0064G,VILLAS LA VUE,17/19 SIGLAP VIEW 455788,17/19,SIGLAP VIEW,na,VILLAS LA VUE,455788,68055500,ACTIVE,7,Realty International Associates Pte Ltd,68055500,17/6/2011
3710,Single Tier Management Corporation,na,T11MC0072J,ZERVEX,8 UBI ROAD 2 408538,8,UBI ROAD 2,Jan-16,ZERVEX,408538,66343034,ACTIVE,232,Outocoz Property Services Pte Ltd,64404600,13/7/2011
3711,Single Tier Management Corporation,na,T11MC0079C,THE ORANGE GROVE,36 ORANGE GROVE ROAD 258363,38,ORANGE GROVE ROAD,B1-01,THE ORANGE GROVE,258364,67358062,ACTIVE,72,na,na,25/7/2011
3712,Single Tier Management Corporation,na,T11MC0061H,CHANCERY LANE,37 CHANCERY LANE 309565,50,CHIN SWEE ROAD,9-Feb,THONG CHAI BUILDING,169874,6732 2220,ACTIVE,4,Sierra Asset Management Pte Ltd,6732 2220,15/6/2011
3713,Single Tier Management Corporation,na,T11MC0111G,ZEDGE,2 AKYAB ROAD 309973,2,AKYAB ROAD,na,ZEDGE CONDOMINIUM,309973,68403834,ACTIVE,102,Ocean IFM Pte Ltd,68861936,23/11/2011
3714,Single Tier Management Corporation,na,T11MC0092H,THE ARIEL,31 LORONG 105 CHANGI 426623,194,PANDAN LOOP,7-Feb,PANTECH BUSINESS HUB,128383,64407948,ACTIVE,20,Teams Strata Management Services Pte Ltd,64407948,3/10/2011
3715,Single Tier Management Corporation,na,T11MC0106D,SEASCAPE,55 COVE WAY 098307,55,COVE WAY,B1-20,SEASCAPE,98307,6659 5755,ACTIVE,151,na,na,14/11/2011
3716,Single Tier Management Corporation,na,T11MC0083K,MARINA COLLECTION,13 COVE DRIVE 098327,17,COVE DRIVE,B1-32,MARINA COLLECTION,98329,6376 2560,ACTIVE,124,Jones Lang LaSalle Property Consultants Pte Ltd,62203888,5/8/2011
3717,Single Tier Management Corporation,na,T11MC0126C,PARK NATURA,31 BUKIT BATOK EAST AVENUE 6 659763,35,BUKIT BATOK EAST AVENUE 6,Jan-21,PARK NATURA,659765,66592781,ACTIVE,192,Newman & Goh Property Consultants Pte Ltd,62569333,21/12/2011
3718,Single Tier Management Corporation,na,T11MC0077L,JULUCA,380 PASIR PANJANG ROAD 118712,4,KAKI BUKIT AVENUE 1,5-Feb,na,417939,68861936,ACTIVE,17,Ocean IFM Pte Ltd,68861936,20/7/2011
3719,Single Tier Management Corporation,na,T11MC0076D,SHELFORD SUITES,16 SHELFORD ROAD 288383,16,SHELFORD ROAD,B1-01,SHELFORD SUITES,288383,6252 3773,ACTIVE,77,Exceltec Property Management Pte Ltd,6252 3733,18/7/2011
3720,Single Tier Management Corporation,na,T12MC0018D,DUCHESS RESIDENCES,102 DUCHESS AVENUE 266310,104,DUCHESS AVENUE,B1-25,DUCHESS RESIDENCES,266314,66591308,ACTIVE,120,SMART PROPERTY MANAGEMENT (S) PTE LTD,66591308,28/2/2012
3721,Single Tier Management Corporation,na,T11MC0089H,CLIVEDEN AT GRANGE,104 GRANGE ROAD 249593,104,GRANGE ROAD,B1-04,CLIVEDEN AT GRANGE,249593,65091614,ACTIVE,110,SMART PROPERTY MANAGEMENT (SINGAPORE) PTE LTD,62230169,6/9/2011
3722,Single Tier Management Corporation,na,T12MC0068G,SUNNY PARC,128 LORONG K TELOK KURAU 425767,3,ANG MO KIO STREET 62,Jul-33,LINK @AMK,569139,62960802,ACTIVE,11,Realty & Estate Consultants Pte Ltd,62960802,30/8/2012
3723,Single Tier Management Corporation,na,T12MC0013B,THE LATTIZ,3D LORONG SALLEH 416751,3D,LORONG SALLEH,na,THE LATTIZ,416751,98391309,ACTIVE,15,APEX PROPERTY MANAGEMENT LLP,98391309,31/1/2012
3724,Single Tier Management Corporation,na,T12MC0023G,JURONG FOOD HUB,31 JALAN TEPONG 619344,15,JALAN TEPONG,1-Jan,JURONG FOOD HUB,619336,62665568,ACTIVE,142,Corporate Visions Pte Ltd,62700759,13/3/2012
3725,Single Tier Management Corporation,na,T11MC0074A,THE AMBROSIA,106 LORONG N TELOK KURAU 425261,106,LORONG N TELOK KURAU,na,THE AMBROSIA,425261,6848 5633,ACTIVE,39,na,na,15/7/2011
3726,Single Tier Management Corporation,na,T12MC0051H,ST MICHAEL REGENCY,38 ST. MICHAELS ROAD 328008,38,ST. MICHAELS ROAD,na,ST MICHAEL REGENCY,328008,98534633,ACTIVE,49,na,na,2/7/2012
3727,Single Tier Management Corporation,na,T11MC0112C,HELIOS RESIDENCES,15 CAIRNHILL CIRCLE 229815,17,CAIRNHILL CIRCLE,B1-05,HELIOS RESIDENCES,229816,65098922,ACTIVE,140,Savills Property Management Pte Ltd,65098922,24/11/2011
3728,Single Tier Management Corporation,na,T12MC0037G,GRANGE INFINITE,27 GRANGE ROAD 239700,27,GRANGE ROAD,2-Jan,GRANGE INFINITE,239700,66348052,ACTIVE,68,Knight Frank Property Asset Management Pte Ltd,68485633,9/5/2012
3729,Single Tier Management Corporation,na,T11MC0096C,DUNSFOLD DRIVE,3 DUNSFOLD DRIVE 359366,3-3A-3E,DUNSFOLD DRIVE,na,DUNSFOLD RESIDENCES,359366,64404600,ACTIVE,6,Outocoz Property Services Pte Ltd,64404600,25/10/2011
3730,Single Tier Management Corporation,na,T12MC0005L,NEWTON IMPERIAL,24 NEWTON ROAD 307956,24,NEWTON ROAD,na,NEWTON IMPERIAL,307956,62535720,ACTIVE,36,Property Facility Serivces Pte Ltd,62211313,12/1/2012
3731,Single Tier Management Corporation,na,T11MC0108G,DUKES RESIDENCES,25 DUKES ROAD 268906,25/27,DUKES ROAD,na,DUKES RESIDENCE,268906,62230169,ACTIVE,42,SMART PROPERTY MANAGEMENT (S) PTE LTD,62230169,15/11/2011
3732,Single Tier Management Corporation,na,T11MC0093D,na,na,20A,PRINCESS OF WALES ROAD,na,na,266923,96429908,ACTIVE,3,na,na,6/10/2011
3733,Single Tier Management Corporation,na,T11MC0099B,MATLOCK RESIDENCES,11 MATLOCK RISE 358566,11C,MATLOCK RISE,na,MATLOCK RESIDENCES,358567,94884308,ACTIVE,6,na,na,28/10/2011
3734,Single Tier Management Corporation,na,T11MC0100F,THE RESIDENCES AT W SINGAPORE SENTOSA COVE,1 OCEAN WAY 098367,11,OCEAN WAY,Jan-38,THE RESIDENCES AT W SINGAPORE SENTOSA COVE,98372,65705417,ACTIVE,228,Empire City Consultant Pte Ltd,65130800,1/11/2011
3735,Single Tier Management Corporation,na,T11MC0094L,ZENITH,60 ZION ROAD 247785,60,ZION ROAD,13-Jul,ZENITH,247785,90692385,ACTIVE,85,Pentagon Property Consultants Pte Ltd,63385533,20/10/2011
3736,Single Tier Management Corporation,na,T11MC0116J,THE CASCADIA,947 BUKIT TIMAH ROAD 589661,947,BUKIT TIMAH ROAD,na,THE CASCADIA,589661,66594060,ACTIVE,536,CBRE Pte Ltd,66594061,28/11/2011
3737,Single Tier Management Corporation,na,T12MC0008K,CHATEAU LA SALLE,36 LA SALLE STREET 456942,540,SIMS AVENUE,3-Jun,SIMS AVENUE CENTRE,387603,68421731,ACTIVE,6,Landsfield Property Management Pte Ltd,68421731,17/1/2012
3738,Single Tier Management Corporation,na,T11MC0087E,SHELFORD 23,23 SHELFORD ROAD 288413,46,EAST COAST ROAD,5-Jun,EASTGATE,428700,63452117,ACTIVE,33,Total Estate Management Services Pte Ltd,63452117,2/9/2011
3739,Single Tier Management Corporation,na,T12MC0015E,TERESA VILLAS,116 BUKIT TERESA ROAD 099758,116/118,BUKIT TERESA ROAD,na,TERESA VILLAS,99758,68055500,ACTIVE,8,Realty International Associates Pte Ltd,68055500,21/2/2012
3740,Single Tier Management Corporation,na,T11MC0091A,UB ONE,81 UBI AVENUE 4 169633,81,UBI AVENUE 4,1-Jun,UB.ONE,408830,66360686/7,ACTIVE,280,Chamber Property Management Services Pte Ltd,66360686/7,30/9/2011
3741,Single Tier Management Corporation,na,T12MC0016A,BELLERIVE,9 KENG CHIN ROAD 258711,9,KENG CHIN ROAD,1-Jan,BELLERIVE,258711,69048069,ACTIVE,51,ECHT Property Consultants Pte. Ltd.,69048069,23/2/2012
3742,Single Tier Management Corporation,na,T11MC0098F,MELROSE VILLE,10 ROSE LANE 437370,10,ROSE LANE,na,MELROSE VILLE,437370,6665 3880,ACTIVE,28,Propmag Property & Facility Pte Ltd,66653880,27/10/2011
3743,Single Tier Management Corporation,na,T12MC0027B,FIORENZA,42 FLORENCE ROAD 549576,42,FLORENCE ROAD,na,FIORENZA,549576,63375277,ACTIVE,28,RealtyLink Consultancy Pte Ltd,63375277,20/3/2012
3744,Single Tier Management Corporation,na,T11MC0122H,AMBER RESIDENCES,50 AMBER ROAD 439888,50,AMBER ROAD,1-Jan,AMBER RESIDENCES,439888,65093750,ACTIVE,114,na,na,8/12/2011
3745,Single Tier Management Corporation,na,T11MC0110L,THE CRESCENT @ KALLANG,47 KALLANG PUDDING ROAD 349318,47,KALLANG PUDDING ROAD,1-Nov,THE CRESCENT @ KALLANG,349318,66360328,ACTIVE,123,Chambers Property Management Services Pte Ltd,64685100,23/11/2011
3746,Single Tier Management Corporation,na,T11MC0105H,WOODLANDS BIZHUB,190 WOODLANDS INDUSTRIAL PARK E5 757516,190,WOODLANDS INDUSTRIAL PARK E5,1-Feb,WOODLANDS BIZHUB,757516,66592733,ACTIVE,184,Savills Property Management Pte Ltd,67368178,10/11/2011
3747,Single Tier Management Corporation,na,T11MC0123D,PARC ASTON,2 LEICESTER ROAD 358831,531,UPPER CROSS STREET,Mar-52,HONG LIM COMPLEX,50531,65333375,ACTIVE,16,Rhodo Strata Management Services Pte Ltd,65333375,19/12/2011
